FID,id,The_geom,tipo,distrito,regional,territóri,codpmf,codsge,inep,título,nome,endereço,bairro,cep,telefone,voips,email,textstring,text_size,text_angle,fonte,ano_ref,epsg_codif
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_6799,20,POINT (-38.52731986143669 -3.8165016676124957),CRP,4,8,20,7443,538,23250550,CRECHE PARCEIRA,REGINA DE FÁTIMA,"RUA G, S/N (CONJ. BARROSO II)",PASSARÉ,60867-320,NADA CONSTA,NADA CONSTA,CRREGINAF@ESCOLA.SME.FORTALEZA.CE.GOV.BR,7443,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_679a,21,POINT (-38.57871102483113 -3.702117361753216),CRP,1,1,3,7453,528,23069198,CRECHE PARCEIRA,PEQUENO POLEGAR,"RUA MOACIR, 45",BARRA DO CEARÁ,60332-650,NADA CONSTA,NADA CONSTA,CRPEQUENOP@ESCOLA.SME.FORTALEZA.CE.GOV.BR,7453,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_679b,22,POINT (-38.51903101669901 -3.854599077326545),EMTP,6,9,32,8496,1017,23277572,ESCOLA MUNICIPAL DE TEMPO INTEGRAL,PROFESSOR ASTHON GUILHERME DA SILVA,"RUA B, S/N (RES. JOSÉ EUCLIDES)",JANGURUSSU,60877-236,NADA CONSTA,NADA CONSTA,NADA CONSTA,8496,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_679c,23,POINT (-38.51485235040647 -3.8198373734976907),EMTI,6,9,31,8482,956,23277564,ESCOLA MUNICIPAL DE TEMPO INTEGRAL,JOSÉ AROLDO CAVALCANTE MOTA,"RUA F, S/N (LOT. MORUMBI I)",BARROSO,60863-110,NADA CONSTA,NADA CONSTA,NADA CONSTA,8482,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_679d,24,POINT (-38.61492207668985 -3.8143001677616986),EMTI,5,5,39,8494,1014,23277408,ESCOLA MUNICIPAL DE TEMPO INTEGRAL,PROFESSOR AGERSON TABOSA PINTO,"RUA WILCA ALBUQUERQUE, S/N",SIQUEIRA,60732-545,NADA CONSTA,NADA CONSTA,NADA CONSTA,8494,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_679e,25,POINT (-38.595327548442484 -3.7540287711400397),EMTI,3,11,37,8500,985,23277246,ESCOLA MUNICIPAL DE TEMPO INTEGRAL,MARIA DA HORA,"RUA RAIMUNDO RIBEIRO, S/N",AUTRAN NUNES,60526-500,NADA CONSTA,NADA CONSTA,NADA CONSTA,8500,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67a0,26,POINT (-38.49218430198351 -3.8217422797533875),CEI,6,6,28,8495,988,23263075,CENTRO DE EDUCAÇÃO INFANTIL,IRMÃ ZEFERINA MARIA,"RUA CEL. JOÃO DE OLIVEIRA, S/N",MESSEJANA,60841-400,NADA CONSTA,NADA CONSTA,NADA CONSTA,8495,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67a2,27,POINT (-38.60077448471943 -3.713980198386078),EMTI,1,1,2,8491,987,23277238,ESCOLA MUNICIPAL DE TEMPO INTEGRAL,DEPUTADO ROBERTO MESQUITA,"RUA BETA, S/N",VILA VELHA,60349-130,NADA CONSTA,NADA CONSTA,NADA CONSTA,8491,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67a6,28,POINT (-38.585028776272694 -3.7059546770780565),CEI,1,1,3,8499,986,23256036,CENTRO DE EDUCAÇÃO INFANTIL,MARIA AGLAÊ GONÇALVES MONTEIRO,"RUA CÂNDIDO CASTELO BRANCO, S/N",BARRA DO CEARÁ,60331-190,NADA CONSTA,NADA CONSTA,NADA CONSTA,8499,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67a7,29,POINT (-38.46121432339355 -3.8044418787999317),CEI,2,7,25,8481,982,23256559,CENTRO DE EDUCAÇÃO INFANTIL,MARIA DAS DORES BEZERRA DE CARVALHO,"RUA MANUEL BERNARDO, 11",SAPIRANGA/COITÉ,60833-601,NADA CONSTA,NADA CONSTA,NADA CONSTA,8481,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67a8,30,POINT (-38.47276604977514 -3.722934824649445),CEI,2,2,9,8493,991,23198818,CENTRO DE EDUCAÇÃO INFANTIL,RACHEL GUIMARÃES MARTINS BARBOSA,"VIA LOCAL LESTE OESTE 02, S/N",CAIS DO PORTO,60180-754,NADA CONSTA,NADA CONSTA,NADA CONSTA,8493,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67a9,31,POINT (-38.5529650339735 -3.802242960728422),CEI,4,8,19,8492,989,23242710,CENTRO DE EDUCAÇÃO INFANTIL,ANA AMÉLIA BEZERRA DE MENEZES E SOUZA,"RUA G, S/N (LOT. DOS EXPEDICIONARIOS II)",DENDÊ,60714-710,NADA CONSTA,NADA CONSTA,NADA CONSTA,8492,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67aa,32,POINT (-38.46897910635574 -3.7442096516943053),CEI,2,2,8,8489,979,23270560,CENTRO DE EDUCAÇÃO INFANTIL,WILMA MARIA DE VASCONCELOS LEOPÉRCIO,"RUA DR. FRANCISCO MATOS, S/N",PAPICU,60176-135,NADA CONSTA,NADA CONSTA,NADA CONSTA,8489,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67ab,33,POINT (-38.46887595404255 -3.773748607321807),CEI,2,7,25,8490,980,23070048,CENTRO DE EDUCAÇÃO INFANTIL,DEPUTADO EDSON QUEIROZ FILHO,"RUA JAIME ALMEIDA, S/N",EDSON QUEIROZ,60812-740,NADA CONSTA,NADA CONSTA,NADA CONSTA,8490,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67ac,34,POINT (-38.45540111179084 -3.7730100999225864),CEI,2,7,25,8487,978,23250631,CENTRO DE EDUCAÇÃO INFANTIL,ANTÔNIA AGOSTINHO DE SOUSA,"RUA TUIUIÚ, S/N",EDSON QUEIROZ,60812-566,NADA CONSTA,NADA CONSTA,NADA CONSTA,8487,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67ad,35,POINT (-38.48022675035218 -3.8525911140558806),CEI,6,6,30,8498,983,23546018,CENTRO DE EDUCAÇÃO INFANTIL,DOM BEDA PEREIRA DE HOLANDA,"RUA MARIA FERREIRA DOS SANTOS, S/N",SÃO BENTO,60875-565,NADA CONSTA,NADA CONSTA,NADA CONSTA,8498,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67ae,36,POINT (-38.619974070813235 -3.803296157349957),CEI,5,5,39,8497,977,23264187,CENTRO DE EDUCAÇÃO INFANTIL,PROFESSORA MARIA LUIZA MOTA MACHADO,"RUA SERENA, S/N",SIQUEIRA,60544-785,NADA CONSTA,NADA CONSTA,NADA CONSTA,8497,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67af,37,POINT (-38.564798835254486 -3.834826288563311),CEI,4,8,21,8466,962,23257334,CENTRO DE EDUCAÇÃO INFANTIL,ARIEVALDO VIANA,"RUA CORONEL DE QUEIROZ, S/N",PLANALTO AYRTON SENNA,60760-510,NADA CONSTA,NADA CONSTA,NADA CONSTA,8466,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67b0,38,POINT (-38.5357266963673 -3.832289758607097),CEI,4,8,21,8486,981,23256850,CENTRO DE EDUCAÇÃO INFANTIL,PROFESSOR GENUÍNO FRANCISCO DE SALES,"RUA 12H, S/N (LOT. CIDADE JARDIM FORTALEZA)",PREFEITO JOSÉ WALTER,60749-022,NADA CONSTA,NADA CONSTA,NADA CONSTA,8486,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67b1,39,POINT (-38.48885508565944 -3.8564905197343307),CEI,6,6,30,8485,963,23065206,CENTRO DE EDUCAÇÃO INFANTIL,DALILA DELMAS MONTENEGRO,"RUA 6, S/N (CONJ. ALTO ALEGRE)",SÃO BENTO,60875-340,NADA CONSTA,NADA CONSTA,NADA CONSTA,8485,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67b2,40,POINT (-38.61391683687846 -3.791652860676914),CRP,5,5,39,8472,969,23256907,CRECHE PARCEIRA,CENTRO DE DESENVOLVIMENTO INTEGRADO DA VIDA,"RUA XAVIER DA SILVEIRA, 2644",GRANJA LISBOA,60540-215,NADA CONSTA,NADA CONSTA,NADA CONSTA,8472,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67b3,41,POINT (-38.60042345806203 -3.8186083534233104),CRP,5,10,34,8478,976,23235080,CRECHE PARCEIRA,CORAÇÃO DE MARIA,"RUA SÃO BASÍLIO, 979",PARQUE PRESIDENTE VARGAS,60762-765,NADA CONSTA,NADA CONSTA,NADA CONSTA,8478,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67b4,42,POINT (-38.58597263878422 -3.818422269872564),CRP,5,10,35,8473,970,23234067,CRECHE PARCEIRA,COR DO BRASIL,"RUA SÃO FRANCISCO, 21",MONDUBIM,60767-500,NADA CONSTA,NADA CONSTA,NADA CONSTA,8473,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67b5,43,POINT (-38.597635305791485 -3.824376713817154),CRP,5,10,34,8471,968,23206152,CRECHE PARCEIRA,TIO CAZUZA,"RUA VICENTE CELESTINO, 1230",PARQUE PRESIDENTE VARGAS,60765-640,NADA CONSTA,NADA CONSTA,NADA CONSTA,8471,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67b6,44,POINT (-38.5921328833181 -3.7772944212832464),CRP,5,5,39,8476,974,23065311,CRECHE PARCEIRA,MUNDO FELIZ,"RUA FRANCISCO DOMINGOS, 1388",BONSUCESSO,60541-575,NADA CONSTA,NADA CONSTA,NADA CONSTA,8476,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67b7,45,POINT (-38.56967456868416 -3.8110788465753913),CRP,5,10,35,8474,971,23071435,CRECHE PARCEIRA,CORAÇÃO DE MARIA II,"RUA DR. PAULO DE MELLO MACHADO, 257",MONDUBIM,60762-070,NADA CONSTA,NADA CONSTA,NADA CONSTA,8474,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67b8,46,POINT (-38.55758309089352 -3.8129298278679005),CRP,5,10,35,8475,973,23078766,CRECHE PARCEIRA,MEU ANJO,"RUA VEREADORA ZÉLIA CORREIA DE SOUSA, 897",MONDUBIM,60761-515,NADA CONSTA,NADA CONSTA,NADA CONSTA,8475,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67b9,47,POINT (-38.555008313453804 -3.8133574633091265),CRP,4,8,20,8470,967,23324252,CRECHE PARCEIRA,TIA LELEU II,"RUA BARBACENA, 297",PARQUE DOIS IRMÃOS,60761-210,NADA CONSTA,NADA CONSTA,NADA CONSTA,8470,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67ba,48,POINT (-38.520698778755985 -3.786276339726149),CRP,4,8,20,8469,966,23264209,CRECHE PARCEIRA,PEQUENOS PASSINHOS,"RUA PEDRO DANTAS, 335",DIAS MACÊDO,60860-150,NADA CONSTA,NADA CONSTA,NADA CONSTA,8469,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67bb,49,POINT (-38.55463636377235 -3.8309785059428556),CRP,4,8,21,8468,965,23257520,CRECHE PARCEIRA,PLANETA DE CORES,"RUA 48, 231",PREFEITO JOSÉ WALTER,60750-620,NADA CONSTA,NADA CONSTA,NADA CONSTA,8468,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67bc,50,POINT (-38.5457511771389 -3.7535596684649306),CRP,4,4,16,8446,938,23069368,CRECHE PARCEIRA,NOSSO JARDIM,"RUA JÚLIO CÉSAR, 1221",JARDIM AMÉRICA,60410-505,NADA CONSTA,NADA CONSTA,NADA CONSTA,8446,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67bd,51,POINT (-38.605372558489485 -3.761034416530095),CRP,3,11,38,8477,975,23233834,CRECHE PARCEIRA,TIA NEIDE,"RUA 448F, S/N",CONJUNTO CEARÁ I,60531-240,NADA CONSTA,NADA CONSTA,NADA CONSTA,8477,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67be,52,POINT (-38.514076410738745 -3.8239214667957406),CEI,6,9,31,8465,957,23324279,CENTRO DE EDUCAÇÃO INFANTIL,PROFESSORA MARIA ROZANI MENDONÇA NOBRE,"RUA ESCRITOR TOM JOBIM, S/N",BARROSO,60863-545,NADA CONSTA,NADA CONSTA,NADA CONSTA,8465,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67bf,53,POINT (-38.45772751672096 -3.826083649106143),CEI,6,6,29,8464,958,23070188,CENTRO DE EDUCAÇÃO INFANTIL,OLINDA MARIA FEITOSA PARENTE,"TRAVESSA SIMEÃO, S/N",LAGOA REDONDA,60832-170,NADA CONSTA,NADA CONSTA,NADA CONSTA,8464,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67c0,54,POINT (-38.478644527561315 -3.8365059571759415),CEI,6,6,29,8462,955,23235128,CENTRO DE EDUCAÇÃO INFANTIL,PADRE JOSÉ MARIA CAVALCANTE COSTA,"RUA F, S/N (RES. GUAJERÚ)",GUAJERU,60843-035,NADA CONSTA,NADA CONSTA,NADA CONSTA,8462,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67c1,55,POINT (-38.502834369710065 -3.8514892051429217),CEI,6,9,33,6993,382,23186771,CENTRO DE EDUCAÇÃO INFANTIL,PROFESSORA LAÍS DE SOUSA VIEIRA NOBRE,"RUA PEDRO DE SOUZA, S/N",PARQUE SANTA MARIA,60873-105,NADA CONSTA,NADA CONSTA,NADA CONSTA,6993,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67c2,56,POINT (-38.502061606918744 -3.8384949356522746),CEI,6,9,32,8455,946,23324260,CENTRO DE EDUCAÇÃO INFANTIL,MANOEL PINHEIRO DOS SANTOS,"RUA MAJOR LADISLAU LOURENÇO, S/N",JANGURUSSU,60870-760,NADA CONSTA,NADA CONSTA,NADA CONSTA,8455,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67c3,57,POINT (-38.47766735338316 -3.8225146248030684),EMTI,6,6,29,8449,941,23275154,ESCOLA MUNICIPAL DE TEMPO INTEGRAL,LAÍS RODRIGUES DE ALMEIDA,"AVENIDA ODILON GUIMARÃES, 1773",CURIÓ,60844-070,NADA CONSTA,NADA CONSTA,NADA CONSTA,8449,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67c4,58,POINT (-38.49308389555613 -3.822744099415133),CRP,6,6,28,8387,885,23263075,CRECHE PARCEIRA,CASINHA DOS SONHOS,"RUA FREI HENRIQUE, 37",MESSEJANA,60841-280,NADA CONSTA,NADA CONSTA,NADA CONSTA,8387,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67c5,361,POINT (-38.55541928460519 -3.829417851134878),EMTP,4,8,21,8373,874,23273755,ESCOLA MUNICIPAL,NELSON MANDELA,"AV. C, 435",PREFEITO JOSÉ WALTER,60750-020,NADA CONSTA,NADA CONSTA,NADA CONSTA,8373,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67c6,59,POINT (-38.46499021105844 -3.823656778683302),CEI,6,6,29,8357,861,23078006,CENTRO DE EDUCAÇÃO INFANTIL,PADRE RAIMUNDO LEANDRO DE ARAÚJO,"RUA GERARDO LIMA, S/N",LAGOA REDONDA,60831-075,NADA CONSTA,NADA CONSTA,NADA CONSTA,8357,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67c7,60,POINT (-38.51320791380312 -3.8655617985400665),EMTP,6,9,33,8364,868,23273763,ESCOLA MUNICIPAL,FRANCISCA ORIÁ SERPA II,"ROD. ANEL VIÁRIO, 2155",ANCURI,60874-212,NADA CONSTA,NADA CONSTA,NADA CONSTA,8364,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67c8,61,POINT (-38.52392791606796 -3.838986187582265),CEI,6,9,32,8353,857,23074124,CENTRO DE EDUCAÇÃO INFANTIL,PROFESSOR LAURO DE OLIVEIRA LIMA,"RUA 313, S/N",JANGURUSSU,60866-370,NADA CONSTA,NADA CONSTA,NADA CONSTA,8353,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67c9,62,POINT (-38.52412639806587 -3.852627677230293),CEI,6,9,32,8354,858,23250623,CENTRO DE EDUCAÇÃO INFANTIL,PROFESSORA ANA MARIA MEDEIROS DA FONSECA,"AV. DEP. CASTELO DE CASTRO, S/N",CONJUNTO PALMEIRAS,60870-066,NADA CONSTA,NADA CONSTA,NADA CONSTA,8354,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67ca,63,POINT (-38.48747765847354 -3.8225099266903046),EMTI,6,6,28,8332,838,23272007,ESCOLA MUNICIPAL DE TEMPO INTEGRAL,MARIA ODETE DA SILVA COLARES,"RUA CEL. JOÃO DE OLIVEIRA, 687",MESSEJANA,60841-820,NADA CONSTA,NADA CONSTA,NADA CONSTA,8332,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67cb,64,POINT (-38.54841046251171 -3.8046888408208077),CEI,4,8,20,8345,851,23242710,CENTRO DE EDUCAÇÃO INFANTIL,PROFESSOR ERASMO DA SILVA PITOMBEIRA,"RUA E, S/N (LOT. EXPEDICIONÁRIOS I)",PARQUE DOIS IRMÃOS,60745-560,NADA CONSTA,NADA CONSTA,NADA CONSTA,8345,10,0,SME,2022,EPSG: 3198
vw_ParqueEscolarMunicipal.fid--16360be6_1884ec8ee50_67cc,65,POINT (-38.47723174057306 -3.818389675786259),CRP,6,6,29,8344,850,23255919,CRECHE PARCEIRA,JARDIM ENCANTADO,"RUA OZÉLIA PONTES, 187",JOSÉ DE ALENCAR,60830-395,NADA CONSTA,NADA CONSTA,NADA CONSTA,8344,10,0,SME,2022,EPSG: 3198
